Strain, Type, Content 
Tangie Cookies, sativa, THC 28% / CBD 1% 
Sun Ra, sativa, THC 29% 
Tardis, sativa, THC 27% / CBD 1% 
Sour Willie, sativa, THC 29% 
Emperor Cookie Dough, sativa, THC 31% 
Super G, sativa, THC 17% 
Zeta Sage, hybrid, THC 28% 
Super Sour Lemon, sativa, THC 21% 
Astral Works, hybrid, THC 11% / CBD 7% 
Strawberry Blonde, sativa, THC 25% / CBD 1% 
Black Tuna, hybrid, THC 20% 
Heavy Duty Fruity, sativa, THC 26% 
Spyder Mon, sativa, THC 3% / CBD 7% 
The Vision, indica, THC 15% 
Sour Spyder, indica, THC 20% 
Chocolate Skunk, sativa, THC 26% 
Cherry Sauce, hybrid, THC 25% 
Chocolate OG, indica, THC 29% 
Kashmir Kush, hybrid, THC 23% 
Jah Goo, hybrid, THC 18% 
Joliet Jake, indica, THC 22% 
Jawa Pie, indica, THC 20% 
Mountain Thunder, sativa, THC 21% 
Mud Bite, indica, THC 0% 
Pinot Green, sativa, THC 23% 
Tangerine Man, sativa, THC 18% 
Kubbie Kush, indica, THC 22% 
Purple Martian Kush, indica, THC 21% 
Morning Glory, sativa, THC 20% 
Inferno Haze, hybrid, THC 23% / CBD 3% 
Motavation, indica, THC 18% 
Cronuts, indica, THC 20% 
Moonbeam, indica, THC 28% 
Tuna Kush, indica, THC 18% 
Sweet Berry, hybrid, THC 21% / CBD 1% 
Purple Goat, sativa, THC 19% 
Toxic Punch, hybrid, THC 25% 
Jock Horror, sativa, THC 24% 
Confidential Wreck, hybrid, THC 22% 
Banana Candy, indica, THC 24% 
Kuchi, indica, THC 22% 
Kurple Fantasy, indica, THC 23% / CBD 1% 
Ninja Fruit, hybrid, THC 16% 
Trojan, indica, THC 19% 
Flash Back, sativa, THC 18% 
Laughing Gas, sativa, THC 24% 
Lazy Train, sativa, THC 20% 
Northwest Pineapple, indica, THC 25% 
OG Los Angeles Kush, indica, THC 27% 
Race Fuel OG, hybrid, THC 19% 
Lavender Kush, indica, THC 18% 
Little Angel, hybrid, THC 15% 
Dark Blue Dream, hybrid, THC 15% 
Michigan Skunk, indica, THC 17% 
Blue Kush, hybrid, THC 18% 
White Dwarf, indica, THC 15% 
Dynamite, indica, THC 24% 
Yumboldt, indica, THC 20% 
Pine Queen Dream, sativa, THC 27% 
Qleaner, sativa, THC 20% 
Sour Bubble, indica, THC 28% 
Wreckage, hybrid, THC 21% 
Think Different, sativa, THC 18% 
Quebec Gold, hybrid, THC 26% 
Buddha Haze, sativa, THC 26% 
Cindy White, hybrid, THC 22% 
Blue Steel, indica, THC 26% 
Sour Dream, sativa, THC 21% 
Citrus Punch, sativa, THC 19% 
Hollywood OG, hybrid, THC 20% 
Green Monster, hybrid, THC 27% 
Strawberry OG, sativa, THC 23% 
Apple Kush, indica, THC 20% 
Double Diesel, sativa, THC 22% 
Black Bubba, indica, THC 24% 
Pluto Kush, indica, THC 21% 
Nepalese Dragon, hybrid, THC 17% 
Timewreck, sativa, THC 27% 
Fallen Angel, indica, THC 18% 
Blue Lights, indica, THC 16% 
Velvet Bud, sativa, THC 23% 
Rock Bud, indica, THC 16% 
Red Widow, hybrid, THC 18% 
Destroyer, sativa, THC 23% 
White Gorilla, indica, THC 25% 
Apricot Jelly, hybrid, THC 0% 
Pink Death Star, indica, THC 23% 
White Durban, hybrid, THC 19% 
Strawberry Milkshake, hybrid, THC 20% 
White Strawberry, hybrid, THC 18% 
The Flav, indica, THC 24% 
A-Dub, hybrid, THC 30% 
Grandpa Larry OG, indica, THC 19% 
Bubba's Gift, indica, THC 20% 
Very Berry Haze, sativa, THC 18% / CBD 1% 
Pineapple Cookies, indica, THC 17% 
Lemon Fire, hybrid, THC 24% 
Master Yoda, hybrid, THC 28% 
Oaxacan Highland, sativa, THC 23% 
Purple Goo, hybrid, THC 21% 
Sour Candy, sativa, THC 16% 
Power Kush, hybrid, THC 19% / CBD 0% 
Super Cheese, indica, THC 25% 
Blueberry Dream, sativa, THC 26% 
Cactus, sativa, THC 24% 
Ancient OG, indica, THC 21% 
Pink Berry, indica, THC 21% 
Chocolate Lava, hybrid, THC 30% 
Burmese Kush, hybrid, THC 18% 
Orange Diesel, sativa, THC 16% 
Catfish, sativa, THC 20% 
Placenta, indica, THC 22% 
Rainbow Kush, indica, THC 17% / CBD 1% 
Critical Plus, hybrid, THC 20% 
Chemdawg Sour Diesel, sativa, THC 26% / CBD 0% 
B. Lee, sativa, THC 20% 
Raw Diesel, hybrid, THC 19% 
Golden Pineapple, hybrid, THC 29% / CBD 0% 
Fruit Loops, indica, THC 19% 
New Glue, indica, THC 30% 
Big Skunk Korean, hybrid, THC 19% 
Raspberry Kush, indica, THC 17% / CBD 0% 
Hawaiian Skunk, indica, THC 17% 
Flying Dragon, hybrid, THC 18% 
Medicine Woman, sativa, THC 24% 
Gandalf OG, indica, THC 28% 
Purple Trainwreck, hybrid, THC 26% / CBD 2% 
Hurricane, sativa, THC 18% / CBD 15% 
Purple Headband, indica, THC 28% 
Early Pearl, sativa, THC 24% 
Nightmare Cookies, sativa, THC 24% 
A-10, indica, THC 18% / CBD 11% 
Blue Dragon, indica, THC 24% 
Canna-Tsu, hybrid, THC 11% / CBD 11% 
Golden Tiger, sativa, THC 24% 
Liberty Haze, hybrid, THC 29% 
Medicine Man, indica, THC 23% 
Permafrost, sativa, THC 18% 
Banana OG, indica, THC 25% 
707 Headband, indica, THC 24% 
Scott's OG, indica, THC 26% 
Purple Thai, sativa, THC 24% 
Brian Berry Cough, hybrid, THC 20% 
Diamond OG, indica, THC 22% 
Pink Lemonade, indica, THC 22% 
Lemon Sativa, sativa, THC 25% 
Blue Crack, sativa, THC 22% 
Sour Kush, indica, THC 26% 
Sour Tangie, sativa, THC 30% 
Thai Sticks, sativa, THC 18% 
East Coast Sour Diesel, sativa, THC 25% 
Runtz, hybrid, THC 0% 
Black Cheese, indica, THC 23% 
Citrus Sunshine Haze, sativa, THC 30% 
Kali Mist, sativa, THC 15% 
Afghani, indica, THC 21% / CBD 1% 
The Black, indica, THC 18% 
Cheese, indica, THC 20% 
Golden Lemon, indica, THC 23% 
Coyote Art, hybrid,  
Critical Purple Kush, hybrid, THC 18% 
Critical Soma, indica, THC 20% 
Animal Gas, indica, THC 0% 
Sour Chunk, sativa, THC 12% 
Coconut Oil, sativa, THC 19% 
Sorcerer's Apprentice, indica, THC 20% 
Sonic Screwdriver, sativa, THC 15% 
Blue Lemon, indica, THC 25% 
Memory Loss, sativa, THC 28% 
Russian Assassin, indica, THC 23% 
Sensi Skunk, indica, THC 28% 
Lemon Pie, sativa, THC 22% 
LA Kookies, hybrid, THC 24% 
Magic Beans OG, indica, THC 18% 
Lemonhead OG, sativa, THC 24% / CBD 1% 
Magellan, indica, THC 30% 
