Strain, Type, Content 
Guava Kush, sativa, THC 21% / CBD 1% 
Hempstar, sativa, THC 25% 
Jah Kush, sativa,  
Madman OG, hybrid, THC 24% 
Nuken, indica, THC 25% 
Pine Tar Kush, indica, THC 22% 
Orange Hill Special, hybrid, THC 21% 
Opal OG Kush, indica, THC 26% 
Pineapple Upside Down Cake, indica, THC 25% 
Purple Cheddar, indica, THC 17% 
Purple Chemdawg, indica, THC 21% 
Purple Jack, hybrid, THC 10% 
Purple Tangie, sativa, THC 22% 
Red Congolese, sativa, THC 21% 
Redwood Kush, indica, THC 26% / CBD 1% 
Romulan Grapefruit, indica, THC 18% / CBD 1% 
Shiva Skunk, indica, THC 20% / CBD 1% 
Sour Urkle, indica, THC 19% / CBD 1% 
VCDC, indica, THC 1% / CBD 18% 
Platinum Sour Diesel, sativa, THC 25% 
Punxsy Punch, indica,  
SFV Dog, hybrid, THC 28% 
Orange Haze, sativa, THC 20% 
Mag Landrace, indica, THC 27% / CBD 1% 
Queen Mother Goji, indica, THC 30% 
Saturn OG, hybrid, THC 26% 
Legend of Nigeria, sativa, THC 24% 
Dutch Hawaiian, sativa, THC 28% 
Jamaican Pearl, sativa, THC 22% 
Moose And Lobsta, sativa, THC 15% 
Cookie Puss, hybrid, THC 24% 
Swiss Tsunami, sativa, THC 1% / CBD 17% 
Banana Diesel, indica, THC 23% / CBD 1% 
Crunch Berry Kush, indica, THC 19% 
Fruity Chronic Juice, indica, THC 20% / CBD 8% 
Pineapple Fields, sativa, THC 0% 
Cream caramel, indica, THC 24% 
Critical Bilbo, indica, THC 21% 
Santa Sativa, sativa, THC 21% 
Cuvee, indica, THC 20% 
Dank Schrader, indica, THC 27% 
Dawg's Waltz, indica, THC 19% 
Erez, indica, THC 24% 
Flaming Cookies, indica, THC 25% 
Frosted Freak, hybrid, THC 21% 
Juliet, sativa, THC 20% 
Funfetti, indica, THC 27% 
Funky Monkey, indica, THC 12% 
Goldberry, indica, THC 19% 
Grape Inferno, indica, THC 23% 
Grape OX, indica, THC 24% 
Grape Valley Kush, indica, THC 26% 
Hawaiian Fire, hybrid, THC 25% 
Hawaiian Purple Kush, indica, THC 23% 
Haze Wreck, sativa, THC 24% 
Heisenberg Kush, sativa, THC 23% 
Purple Raine, hybrid, THC 19% 
Purple Dream, hybrid, THC 15% 
Hell Raiser OG, indica, THC 20% 
Lavender Jones, sativa, THC 20% / CBD 1% 
